,Company,TypeName,Inches,Ram,OpSys,Weight,Price,Resolution_Width,Resolution_Height,CPU Brand,CPU Series,CPU Frequency,Storage Capacity,Storage Type,Gpu_Brand,Gpu_Model
171,HP,Notebook,17.3,6,Windows 10,2.71,37242.72,1920.0,1080.0,Intel,Core i5 7200U,2.5,2000,HDD,AMD,Radeon 520
172,Lenovo,Notebook,15.6,4,No OS,2.2,16463.52,1366.0,768.0,AMD,A6-Series 9220,2.9,500,HDD,AMD,Radeon R4 Graphics
173,Toshiba,Notebook,15.6,4,Windows 10,2.0,26053.92,1366.0,768.0,Intel,Core i3 7100U,2.4,500,HDD,Intel,HD Graphics 620
174,HP,Notebook,17.3,8,Windows 10,2.5,49177.44,1920.0,1080.0,Intel,Core i5 8250U,1.6,256,SSD,Nvidia,GeForce 930MX
175,Dell,Notebook,15.6,8,Windows 10,2.3,24455.52,1366.0,768.0,Intel,Core i3 7100U,2.4,1000,HDD,Intel,HD Graphics 620
176,Acer,Notebook,15.6,4,Windows 10,2.1,23922.72,1366.0,768.0,Intel,Core i3 6006U,2,128,SSD,Intel,HD Graphics 520
177,MSI,Gaming,18.4,32,Windows 10,4.4,149130.72,1920.0,1080.0,Intel,Core i7 6920HQ,2.9,1512,Hybrid,Nvidia,GTX 980 SLI
178,Lenovo,Notebook,15.6,8,Windows 10,1.9,43316.64,1920.0,1080.0,Intel,Core i5 7200U,2.5,1128,Hybrid,AMD,R17M-M1-70
179,HP,2 in 1 Convertible,13.3,8,Windows 10,1.29,79866.72,3840.0,2160.0,Intel,Core i5 8250U,1.6,256,SSD,Intel,UHD Graphics 620
180,Dell,Notebook,15.6,16,Linux,2.02,55890.72,1920.0,1080.0,Intel,Core i7 8550U,1.8,2256,Hybrid,AMD,Radeon 530
181,Dell,Ultrabook,13.3,8,Windows 10,1.23,74538.72,1920.0,1080.0,Intel,Core i5 8250U,1.6,256,SSD,Intel,UHD Graphics 620
182,Lenovo,2 in 1 Convertible,13.9,16,Windows 10,1.4,98514.72,3840.0,2160.0,Intel,Core i7 8550U,1.8,512,SSD,Intel,UHD Graphics 620
183,Toshiba,Notebook,15.6,8,Windows 10,2.0,42251.04,1366.0,768.0,Intel,Core i5 7200U,2.5,128,SSD,Intel,HD Graphics 620
184,Xiaomi,Notebook,15.6,8,No OS,1.95,63882.72,1920.0,1080.0,Intel,Core i5 8250U,1.6,256,SSD,Nvidia,GeForce MX150
185,Dell,Notebook,17.3,16,Windows 10,2.77,82530.72,1920.0,1080.0,Intel,Core i7 8550U,1.8,512,SSD,Nvidia,GeForce 150MX
186,Dell,Notebook,15.6,16,Windows 10,2.06,127712.16,3840.0,2160.0,Intel,Core i7 7700HQ,2.8,512,SSD,Nvidia,GeForce GTX 1050
187,Lenovo,Gaming,15.6,8,No OS,2.4,41505.12,1920.0,1080.0,Intel,Core i5 7300HQ,2.5,256,SSD,Nvidia,GeForce GTX 1050
188,Acer,Ultrabook,13.3,8,Windows 10,1.12,52693.92,1920.0,1080.0,Intel,Core i5 7Y54,1.2,256,SSD,Intel,HD Graphics 615
189,Dell,Notebook,17.3,8,Windows 10,2.8,57808.8,1920.0,1080.0,Intel,Core i7 8550U,1.8,1128,Hybrid,AMD,Radeon 530
190,Lenovo,2 in 1 Convertible,14.0,16,Windows 10,1.42,150462.72,2560.0,1440.0,Intel,Core i7 7500U,2.7,1000,SSD,Intel,HD Graphics 620
191,Vero,Notebook,14.0,4,Windows 10,1.3,13852.8,1920.0,1080.0,Intel,Celeron Dual Core N3350,1.1,32,Flash Storage,Intel,HD Graphics 500
192,Xiaomi,Ultrabook,13.3,8,No OS,1.3,53274.67199999999,1920.0,1080.0,Intel,Core i5 7200U,2.5,256,SSD,Nvidia,GeForce MX150
193,Lenovo,Notebook,17.3,8,No OS,2.8,37189.44,1600.0,900.0,Intel,Core i5 8250U,1.6,256,SSD,Nvidia,GeForce MX150
194,Dell,2 in 1 Convertible,13.3,8,Windows 10,1.62,44701.92,1920.0,1080.0,Intel,Core i7 8550U,1.8,1000,HDD,Intel,UHD Graphics 620
195,HP,Notebook,17.3,8,Windows 10,2.5,48697.92,1920.0,1080.0,Intel,Core i5 8250U,1.6,1000,HDD,Nvidia,GeForce 930MX
196,Razer,Gaming,17.3,32,Windows 10,3.49,324954.72,3840.0,2160.0,Intel,Core i7 7820HK,2.9,1000,SSD,Nvidia,GeForce GTX 1080
197,HP,Notebook,13.3,8,Windows 10,1.49,51095.52,1920.0,1080.0,Intel,Core i5 8250U,1.6,512,SSD,Intel,UHD Graphics 620
198,HP,Gaming,17.3,16,Windows 10,3.35,73473.12,1920.0,1080.0,Intel,Core i7 7700HQ,2.8,1256,Hybrid,Nvidia,GeForce GTX 1050
199,HP,Notebook,17.3,8,Windows 10,2.5,55677.6,1920.0,1080.0,Intel,Core i7 8550U,1.8,256,SSD,Nvidia,GeForce 930MX 
200,Dell,Gaming,15.6,16,Windows 10,2.65,98301.6,3840.0,2160.0,Intel,Core i7 7700HQ,2.8,1512,Hybrid,Nvidia,GeForce GTX 1060
201,Lenovo,Notebook,15.6,4,Windows 10,2.1,26267.04,1366.0,768.0,Intel,Core i5 6200U,2.3,128,SSD,Intel,HD Graphics 520
202,Acer,Notebook,15.6,8,Windows 10,2.23,39533.76,1920.0,1080.0,Intel,Core i7 7500U,2.7,1000,HDD,Nvidia,GeForce 940MX
203,Lenovo,Gaming,15.6,16,Windows 10,3.2,93186.72,1920.0,1080.0,Intel,Core i7 7700HQ,2.8,1512,Hybrid,Nvidia,GeForce GTX 1060
204,Dell,Workstation,15.6,16,Windows 10,2.8,162770.4,3840.0,2160.0,Intel,Xeon E3-1505M V6,3,1256,Hybrid,Nvidia,Quadro M1200
205,Lenovo,Gaming,15.6,16,No OS,2.4,74485.44,1920.0,1080.0,Intel,Core i7 7700HQ,2.8,512,SSD,Nvidia,GeForce GTX 1060
206,Dell,Notebook,15.6,6,Windows 10,2.3,23389.92,1366.0,768.0,Intel,Core i3 7100U,2.4,1000,HDD,Intel,HD Graphics 620
207,Dell,Ultrabook,13.3,8,Windows 10,1.21,103842.72,3840.0,2160.0,Intel,Core i7 8550U,1.8,256,SSD,Intel,UHD Graphics 620
208,Dell,Ultrabook,13.3,8,Windows 10,1.2,77202.72,1920.0,1080.0,Intel,Core i7 8550U,1.8,256,SSD,Intel,UHD Graphics 620
209,Lenovo,Notebook,15.6,8,Windows 10,2.2,31808.16,1366.0,768.0,Intel,Core i5 7200U,2.5,256,SSD,Intel,HD Graphics 620
210,Acer,Notebook,15.6,8,Linux,2.4,41505.12,1920.0,1080.0,Intel,Core i7 7700HQ,2.8,1000,HDD,Nvidia,GeForce GTX 1050
211,Asus,Gaming,17.3,16,Windows 10,2.9,74964.95999999999,1920.0,1080.0,Intel,Core i7 7700HQ,2.8,1256,Hybrid,Nvidia,GeForce GTX 1050
212,HP,Notebook,15.6,4,No OS,2.1,18594.72,1920.0,1080.0,Intel,Core i3 6006U,2,500,HDD,Intel,HD Graphics 520
213,Lenovo,Notebook,15.6,8,No OS,2.2,29250.72,1920.0,1080.0,Intel,Core i5 7200U,2.5,256,SSD,Intel,HD Graphics 620
214,Huawei,Ultrabook,13.0,8,Windows 10,1.05,79866.72,2160.0,1440.0,Intel,Core i7 7500U,2.7,512,SSD,Intel,HD Graphics 620
215,Dell,Ultrabook,13.3,8,Windows 10,1.4,49650.5664,1920.0,1080.0,Intel,Core i7 8550U,1.8,256,SSD,AMD,Radeon 530
216,Lenovo,Notebook,17.3,8,No OS,2.8,31381.92,1600.0,900.0,Intel,Core i5 7200U,2.5,1000,HDD,Nvidia,GeForce GTX 940MX
217,HP,Notebook,14.0,8,Windows 10,1.63,54931.68,1920.0,1080.0,Intel,Core i7 8550U,1.8,256,SSD,Nvidia,GeForce 930MX
218,Dell,Ultrabook,14.0,8,Windows 10,1.6,61218.72,1920.0,1080.0,Intel,Core i5 8250U,1.6,256,SSD,Intel,UHD Graphics 620
219,Dell,2 in 1 Convertible,13.3,16,Windows 10,1.62,68145.12,1920.0,1080.0,Intel,Core i7 8550U,1.8,512,SSD,Intel,UHD Graphics 620
220,Dell,Notebook,15.6,8,Linux,2.2,36089.208,1920.0,1080.0,Intel,Core i5 8250U,1.6,256,SSD,AMD,Radeon 520
221,Lenovo,2 in 1 Convertible,14.0,8,Windows 10,1.74,47898.72,1920.0,1080.0,Intel,Core i5 8250U,1.6,256,SSD,Intel,UHD Graphics 620
222,Toshiba,Ultrabook,13.3,8,Windows 10,1.2,72620.64,1920.0,1080.0,Intel,Core i7 6500U,2.5,256,SSD,Intel,HD Graphics 520
223,HP,Notebook,15.6,8,Windows 10,2.1,42304.32,1920.0,1080.0,Intel,Core i5 8250U,1.6,1000,HDD,Intel,UHD Graphics 620
224,Dell,Gaming,17.3,16,Windows 10,4.42,130873.7952,1920.0,1080.0,Intel,Core i7 7700HQ,2.8,1256,Hybrid,Nvidia,GeForce GTX 1060
225,Acer,Notebook,15.6,8,Windows 10,2.2,44328.96,1920.0,1080.0,Intel,Core i7 7500U,2.7,256,SSD,Nvidia,GeForce 940MX
226,Dell,Notebook,15.6,16,Windows 10,2.3,45768.0528,1920.0,1080.0,Intel,Core i7 7500U,2.7,1000,HDD,AMD,Radeon R7 M445
227,Asus,Notebook,15.6,8,Windows 10,2.0,40972.32,1920.0,1080.0,Intel,Core i5 7200U,2.5,256,SSD,Nvidia,GeForce 920MX 
228,Asus,Notebook,17.3,8,Windows 10,2.69,47472.48,1920.0,1080.0,Intel,Core i5 7200U,2.5,756,Hybrid,Nvidia,GeForce GTX 950M
229,HP,Notebook,15.6,8,Windows 10,1.9,67612.31999999999,1920.0,1080.0,Intel,Core i7 7500U,2.7,1000,HDD,AMD,FirePro W4190M 
230,Asus,Notebook,15.6,4,Windows 10,2.37,21258.1872,1366.0,768.0,Intel,Core i3 7100U,2.4,1000,HDD,Intel,HD Graphics 620
231,HP,Notebook,15.6,4,Windows 10,2.1,17582.399999999998,1366.0,768.0,AMD,E-Series 9000e,1.5,500,HDD,AMD,Radeon R2
232,Lenovo,Gaming,15.6,16,Windows 10,3.2,79866.72,1920.0,1080.0,Intel,Core i7 7700HQ,2.8,1256,Hybrid,Nvidia,GeForce GTX 1060
233,Dell,Notebook,14.0,8,Windows 10,1.6,45767.52,1920.0,1080.0,Intel,Core i5 7200U,2.5,256,SSD,Intel,HD Graphics 620
234,Acer,2 in 1 Convertible,13.3,8,Windows 10,1.6,36709.92,1920.0,1080.0,Intel,Core i5 6200U,2.3,256,SSD,Intel,HD Graphics 520
235,Dell,Notebook,15.6,16,Linux,2.36,47898.72,1920.0,1080.0,Intel,Core i7 7500U,2.7,256,SSD,AMD,Radeon R7 M445
236,Acer,Notebook,15.6,4,Linux,2.1,20779.2,1366.0,768.0,Intel,Core i3 6006U,2,1000,HDD,Intel,HD Graphics 520
237,Asus,Notebook,15.6,4,Windows 10,2.2,30636.0,1920.0,1080.0,AMD,A10-Series A10-9620P,2.5,1128,Hybrid,AMD,Radeon R5 M430
238,Asus,Gaming,17.3,32,Windows 10,4.7,207259.2,1920.0,1080.0,Intel,Core i7 7820HK,2.9,1512,Hybrid,Nvidia,GeForce GTX 1080
239,Acer,Gaming,15.6,8,Windows 10,2.5,45074.88,1920.0,1080.0,Intel,Core i5 7300HQ,2.5,256,SSD,Nvidia,GeForce GTX 1050
240,Lenovo,Notebook,15.6,8,Windows 10,2.2,31381.92,1366.0,768.0,Intel,Core i3 6006U,2,128,SSD,Intel,HD Graphics 520
241,Asus,Notebook,17.3,8,Windows 10,2.1,61005.6,1920.0,1080.0,Intel,Core i7 8550U,1.8,1128,Hybrid,Nvidia,GeForce 150MX
242,Asus,Notebook,17.3,8,No OS,2.69,47365.92,1920.0,1080.0,Intel,Core i7 7500U,2.7,1128,Hybrid,Nvidia,GeForce GTX 950M
243,Dell,Gaming,15.6,8,Windows 10,2.56,46833.12,1920.0,1080.0,Intel,Core i5 7300HQ,2.5,256,SSD,Nvidia,GeForce GTX 1050
244,Lenovo,2 in 1 Convertible,13.9,8,Windows 10,1.38,57489.12,1920.0,1080.0,Intel,Core i7 7500U,2.7,256,SSD,Intel,HD Graphics 620
245,Dell,Notebook,15.6,8,Windows 10,2.2,52480.8,1920.0,1080.0,Intel,Core i7 8550U,1.8,2128,Hybrid,AMD,Radeon 530
246,HP,Notebook,15.6,8,Windows 10,2.04,29783.52,1366.0,768.0,Intel,Core i5 7200U,2.5,1000,HDD,Intel,HD Graphics 620
247,Asus,Gaming,17.3,16,Windows 10,3.6,159786.72,1920.0,1080.0,Intel,Core i7 7820HK,2.9,256,SSD,Nvidia,GeForce GTX 1080
248,HP,Notebook,13.3,4,Windows 10,1.49,35964.0,1920.0,1080.0,Intel,Core i5 8250U,1.6,500,HDD,Intel,UHD Graphics 620
249,Apple,Ultrabook,13.3,8,macOS,1.37,108691.2,2560.0,1600.0,Intel,Core i5,3.1,512,SSD,Intel,Iris Plus Graphics 650
250,Dell,2 in 1 Convertible,15.6,8,Windows 10,2.08,43636.32,1920.0,1080.0,Intel,Core i7 8550U,1.8,1000,HDD,Intel,UHD Graphics 620
251,Asus,Gaming,17.3,16,Windows 10,4.3,95850.72,1920.0,1080.0,Intel,Core i7 7700HQ,2.8,1256,Hybrid,Nvidia,GeForce GTX 980M
252,Asus,Notebook,15.6,4,Windows 10,1.68,24988.32,1366.0,768.0,AMD,A9-Series 9420,3,1000,HDD,AMD,Radeon R5 M420
253,Lenovo,2 in 1 Convertible,13.9,8,Windows 10,1.37,98514.72,1920.0,1080.0,Intel,Core i7 8550U,1.8,512,SSD,Intel,UHD Graphics 620
254,Acer,Notebook,17.3,4,Windows 10,3.0,37402.56,1920.0,1080.0,Intel,Core i3 7130U,2.7,256,SSD,Nvidia,GeForce MX130
255,Dell,Ultrabook,13.3,8,Windows 10,1.41,50562.72,1920.0,1080.0,Intel,Core i5 8250U,1.6,256,SSD,Intel,UHD Graphics 620
256,HP,Notebook,15.6,8,Windows 10,1.91,23757.552,1366.0,768.0,AMD,A6-Series A6-9220,2.5,128,SSD,AMD,Radeon R4 Graphics
257,HP,Notebook,17.3,16,Windows 10,2.9,56423.52,1920.0,1080.0,Intel,Core i7 8550U,1.8,1000,HDD,Nvidia,GeForce MX150
258,MSI,Gaming,17.3,16,Windows 10,4.14,133146.72,1920.0,1080.0,Intel,Core i7 7700HQ,2.8,1512,Hybrid,Nvidia,GeForce GTX 1070
259,Lenovo,2 in 1 Convertible,15.6,8,Windows 10,2.0,90522.72,1920.0,1080.0,Intel,Core i7 7700HQ,2.8,512,SSD,Nvidia,GeForce GTX 1050M
260,Dell,Notebook,17.3,8,Windows 10,2.8,60845.76,1920.0,1080.0,Intel,Core i7 8550U,1.8,1128,Hybrid,AMD,Radeon 530
261,Lenovo,Notebook,15.6,4,No OS,2.2,23656.32,1920.0,1080.0,Intel,Core i3 6006U,2,256,SSD,Intel,HD Graphics 520
262,HP,Notebook,15.6,4,Windows 10,2.1,38468.16,1920.0,1080.0,Intel,Core i5 8250U,1.6,500,HDD,Intel,HD Graphics 620
263,Dell,Notebook,15.6,4,Windows 10,2.18,35004.96,1920.0,1080.0,Intel,Core i5 7200U,2.5,1000,HDD,Intel,HD Graphics 620
264,Dell,Notebook,15.6,8,Windows 10,2.24,30103.2,1920.0,1080.0,Intel,Core i5 7200U,2.5,1000,HDD,AMD,Radeon R5 M430
265,Dell,2 in 1 Convertible,15.6,8,Windows 10,2.67,42570.72,1920.0,1080.0,Intel,Core i5 8250U,1.6,256,SSD,Intel,UHD Graphics 620
266,Asus,2 in 1 Convertible,13.3,8,Windows 10,1.1,79866.72,1920.0,1080.0,Intel,Core i7 8550U,1.8,1024,SSD,Intel,UHD Graphics 620
267,Lenovo,Notebook,15.6,4,No OS,2.2,24881.76,1920.0,1080.0,Intel,Core i5 7200U,2.5,1000,HDD,Intel,HD Graphics 620
268,HP,Notebook,17.3,8,Windows 10,2.5,54239.04,1920.0,1080.0,Intel,Core i7 8550U,1.8,1000,HDD,Nvidia,GeForce 930MX 
269,Lenovo,Notebook,15.6,8,Windows 10,2.05,46886.4,1920.0,1080.0,Intel,Core i7 8550U,1.8,256,SSD,Intel,UHD Graphics 620
270,Apple,Ultrabook,13.3,8,macOS,1.37,104370.192,2560.0,1600.0,Intel,Core i5,2.9,512,SSD,Intel,Iris Graphics 550
271,Asus,Gaming,17.3,16,Windows 10,3.2,82530.72,1920.0,1080.0,AMD,Ryzen 1700,3,1256,Hybrid,AMD,Radeon RX 580
272,Dell,Notebook,15.6,8,Linux,2.14,39164.5296,1920.0,1080.0,Intel,Core i7 8550U,1.8,256,SSD,AMD,Radeon 520
273,Lenovo,2 in 1 Convertible,14.0,16,Windows 10,1.36,133146.72,2560.0,1440.0,Intel,Core i7 6600U,2.6,512,SSD,Intel,HD Graphics 520
274,Toshiba,Notebook,15.6,8,Windows 10,2.2,43263.36,1366.0,768.0,Intel,Core i7 6500U,2.5,500,HDD,Nvidia,GeForce 930M
275,Dell,Notebook,15.6,12,Windows 10,2.3,37992.3696,1366.0,768.0,Intel,Core i7 7500U,2.7,1000,HDD,Intel,HD Graphics 620
276,Dell,Notebook,17.3,8,Linux,2.8,58554.72,1920.0,1080.0,Intel,Core i7 8550U,1.8,1128,Hybrid,AMD,Radeon 530
277,Acer,Notebook,15.6,8,Windows 10,2.2,39693.6,1920.0,1080.0,Intel,Core i7 8550U,1.8,1000,HDD,Nvidia,GeForce MX130
278,Lenovo,Notebook,17.3,4,Windows 10,2.8,26053.92,1600.0,900.0,Intel,Core i3 6006U,2,1000,HDD,Intel,HD Graphics 520
279,Lenovo,Notebook,17.3,8,No OS,2.8,45234.72,1920.0,1080.0,Intel,Core i7 8550U,1.8,2000,HDD,Nvidia,GeForce MX150
280,Lenovo,Notebook,17.3,6,Windows 10,2.8,45767.52,1600.0,900.0,Intel,Core i7 7500U,2.7,1128,Hybrid,Nvidia,GeForce 940MX
281,Dell,Notebook,15.6,4,Linux,2.25,22803.84,1920.0,1080.0,Intel,Core i3 6006U,2.0,1000,HDD,AMD,Radeon R5 M430
282,Lenovo,Gaming,15.6,8,Windows 10,2.5,44169.12,1920.0,1080.0,Intel,Core i5 7300HQ,2.5,256,SSD,Nvidia,GeForce GTX 1050
283,Lenovo,Notebook,15.6,6,Windows 10,2.2,30849.12,1920.0,1080.0,Intel,Core i5 7200U,2.5,256,SSD,Intel,HD Graphics 620
284,Acer,Notebook,15.6,8,Windows 10,3.0,50669.28,1920.0,1080.0,Intel,Core i7 8550U,1.8,256,SSD,Nvidia,GeForce MX150
285,Acer,Notebook,15.6,12,Windows 10,2.15,35111.52,1920.0,1080.0,Intel,Core i7 7500U,2.7,1000,HDD,Intel,HD Graphics 620
286,Lenovo,Notebook,15.6,8,Windows 10,1.95,58448.16,1920.0,1080.0,Intel,Core i7 7500U,2.7,256,SSD,Intel,HD Graphics 630
287,Asus,Ultrabook,15.6,8,Windows 10,1.7,52054.56,1920.0,1080.0,Intel,Core i5 7200U,2.5,256,SSD,Nvidia,GeForce 940MX
288,Lenovo,Gaming,15.6,16,Windows 10,2.5,62817.12,1920.0,1080.0,Intel,Core i7 7700HQ,2.8,1256,Hybrid,Nvidia,GeForce GTX 1050 Ti
289,Lenovo,Notebook,15.6,8,No OS,2.2,35112.0528,1920.0,1080.0,Intel,Core i7 7500U,2.7,1000,HDD,Nvidia,GeForce 940MX
290,Acer,Notebook,15.6,2,Chrome OS,2.19,10602.72,1366.0,768.0,Intel,Celeron Dual Core 3205U,1.5,16,SSD,Intel,HD Graphics
291,Asus,Gaming,17.3,8,Windows 10,3.0,63243.36,1920.0,1080.0,Intel,Core i7 7700HQ,2.8,1000,HDD,Nvidia,GeForce GTX 1050
292,HP,Notebook,17.3,8,Windows 10,2.54,26053.92,1600.0,900.0,Intel,Core i3 6006U,2,1000,HDD,Intel,HD Graphics 520
293,Dell,Notebook,15.6,8,Windows 10,2.0,97449.12,1920.0,1080.0,Intel,Core i7 7700HQ,2.8,256,SSD,Nvidia,GeForce GTX 1050
294,Lenovo,Notebook,15.6,8,Windows 10,2.05,39373.92,1920.0,1080.0,Intel,Core i5 8250U,1.6,256,SSD,Intel,UHD Graphics 620
295,Lenovo,Gaming,15.6,8,Windows 10,3.2,69210.72,1920.0,1080.0,Intel,Core i7 7700HQ,2.8,1000,HDD,Nvidia,GeForce GTX 1060
296,Acer,Notebook,15.6,8,Linux,2.5,52161.12,1920.0,1080.0,Intel,Core i7 7700HQ,2.8,256,SSD,Nvidia,GeForce GTX 1050 Ti
297,Dell,Workstation,17.3,16,Windows 10,3.42,153705.3408,1920.0,1080.0,Intel,Core i7 7820HQ,2.9,256,SSD,Nvidia,Quadro M1200
298,Lenovo,Notebook,15.6,6,Windows 10,2.4,26586.72,1920.0,1080.0,AMD,A10-Series 9600P,2.4,1000,HDD,AMD,Radeon R5 430
299,Asus,Ultrabook,15.6,16,Windows 10,1.63,78215.04,1920.0,1080.0,Intel,Core i7 7500U,2.7,512,SSD,Nvidia,GeForce 940MX
300,Asus,Notebook,14.0,4,Windows 10,1.3,27119.52,1366.0,768.0,Intel,Core i3 7100U,2.4,128,SSD,Intel,HD Graphics 620
301,Asus,Gaming,17.3,16,Windows 10,2.9,113060.16,1920.0,1080.0,Intel,Core i7 7700HQ,2.8,1256,Hybrid,Nvidia,GeForce GTX 1070
302,Lenovo,Notebook,17.3,6,Windows 10,2.8,34578.72,1600.0,900.0,Intel,Core i5 7200U,2.5,1000,HDD,Nvidia,GeForce GTX 940M
303,Lenovo,Notebook,15.6,8,No OS,2.2,29250.72,1366.0,768.0,Intel,Core i5 7200U,2.5,2000,HDD,Nvidia,GeForce 940MX
304,Asus,Gaming,15.6,8,Windows 10,2.5,67399.2,1920.0,1080.0,Intel,Core i7 7700HQ,2.8,1128,Hybrid,Nvidia,GeForce GTX 1050 Ti
305,Lenovo,Notebook,15.6,4,No OS,2.2,19180.2672,1366.0,768.0,Intel,Pentium Quad Core N4200,1.1,1000,HDD,Intel,HD Graphics 505
306,HP,2 in 1 Convertible,13.3,16,Windows 10,1.28,105228.0,1920.0,1080.0,Intel,Core i7 7600U,2.8,256,SSD,Intel,HD Graphics 620
307,Toshiba,Notebook,15.6,8,Windows 10,2.2,55571.04,1920.0,1080.0,Intel,Core i7 6500U,2.5,256,SSD,Nvidia,GeForce 930M
308,Lenovo,Notebook,15.6,8,Windows 10,2.3,43636.32,1920.0,1080.0,Intel,Core i5 7200U,2.5,1128,Hybrid,Nvidia,GeForce 940MX
309,HP,Notebook,15.6,4,Windows 10,1.86,24988.32,1920.0,1080.0,Intel,Core i3 6006U,2,1000,HDD,Intel,HD Graphics 520
310,Lenovo,Notebook,13.3,8,Windows 10,1.1,53226.72,1920.0,1080.0,Intel,Core i5 7200U,2.5,256,SSD,Intel,HD Graphics 620
311,Dell,Ultrabook,13.3,16,Windows 10,1.21,133146.72,3840.0,2160.0,Intel,Core i7 8550U,1.8,1000,SSD,Intel,UHD Graphics 620
312,MSI,Gaming,15.6,16,Windows 10,2.8,111834.72,1920.0,1080.0,Intel,Core i7 7700HQ,2.8,1256,Hybrid,Nvidia,GeForce GTX 1070
313,Acer,Notebook,15.6,8,Windows 10,2.23,24988.32,1920.0,1080.0,AMD,A8-Series 7410,2.2,256,SSD,AMD,Radeon R5
314,Asus,2 in 1 Convertible,11.6,2,Windows 10,1.1,14652.0,1366.0,768.0,Intel,Celeron Dual Core N3350,1.1,32,Flash Storage,Intel,HD Graphics 500
315,Dell,Notebook,15.6,8,Windows 10,2.33,44968.32,1920.0,1080.0,Intel,Core i5 8250U,1.6,1128,Hybrid,AMD,Radeon 530
316,HP,2 in 1 Convertible,13.3,16,Windows 10,1.29,130482.72,3840.0,2160.0,Intel,Core i7 8550U,1.8,1000,SSD,Intel,UHD Graphics 620
317,Lenovo,Notebook,13.3,4,Chrome OS,1.45,24503.472,1366.0,768.0,Intel,Celeron Dual Core 3855U,1.6,16,Flash Storage,Intel,HD Graphics 510
318,HP,Notebook,14.0,8,Windows 10,1.95,52214.4,1920.0,1080.0,Intel,Core i5 7200U,2.5,256,SSD,Intel,HD Graphics 620
319,Acer,Notebook,11.6,4,Windows 10,1.4,25840.8,1366.0,768.0,Intel,Pentium Quad Core N3710,1.6,128,Flash Storage,Intel,HD Graphics 405
320,HP,Notebook,14.0,8,Windows 10,1.48,68837.76,1920.0,1080.0,Intel,Core i7 7500U,2.7,256,SSD,Intel,HD Graphics 620
321,Lenovo,Notebook,17.3,4,Windows 10,2.79,31381.92,1600.0,900.0,Intel,Core i5 7200U,2.5,1000,HDD,Nvidia,GeForce 920MX
322,Asus,Notebook,14.0,8,Windows 10,2.0,58288.32,1920.0,1080.0,Intel,Core i7 7500U,2.7,256,SSD,Intel,HD Graphics 620
323,HP,Notebook,15.6,8,Windows 10,2.1,48058.56,1366.0,768.0,Intel,Core i7 8550U,1.8,1000,HDD,Intel,UHD Graphics 620
324,Acer,Notebook,15.6,8,Windows 10,2.2,35111.52,1366.0,768.0,AMD,A12-Series 9720P,2.7,256,SSD,AMD,Radeon RX 540
325,Lenovo,Notebook,14.0,4,Windows 10,1.44,15557.76,1366.0,768.0,Intel,Celeron Dual Core N3350,1.1,32,Flash Storage,Intel,HD Graphics 500
326,Acer,Notebook,15.6,6,Windows 10,2.23,29250.72,1366.0,768.0,Intel,Core i5 7200U,2.5,1000,HDD,Intel,HD Graphics 620
327,Asus,Ultrabook,15.6,8,Windows 10,1.7,55938.672,1920.0,1080.0,Intel,Core i7 7500U,2.7,256,SSD,Nvidia,GeForce 940MX
328,HP,Ultrabook,12.5,8,Windows 10,1.26,71128.8,1920.0,1080.0,Intel,Core i7 7500U,2.7,256,SSD,Intel,HD Graphics 620
329,Dell,Notebook,15.6,32,Windows 10,2.06,140605.91999999998,3840.0,2160.0,Intel,Core i7 7700HQ,2.8,1000,SSD,Nvidia,GeForce GTX 1050
330,MSI,Gaming,17.3,8,Windows 10,2.7,63882.72,1920.0,1080.0,Intel,Core i7 7700HQ,2.8,1256,Hybrid,Nvidia,GeForce GTX 1050 Ti
331,Toshiba,Notebook,15.6,8,Windows 10,2.0,50243.04,1920.0,1080.0,Intel,Core i5 7200U,2.5,256,SSD,Intel,HD Graphics 620
332,Asus,Notebook,14.0,8,Windows 10,2.0,71075.52,1920.0,1080.0,Intel,Core i7 7500U,2.7,1256,Hybrid,Intel,HD Graphics 620
333,Lenovo,Notebook,15.6,4,Windows 10,1.85,23922.72,1920.0,1080.0,Intel,Core i3 6006U,2,1000,HDD,Intel,HD Graphics 520
334,Asus,Gaming,15.6,8,Windows 10,2.5,53226.72,1920.0,1080.0,Intel,Core i7 7700HQ,2.8,256,SSD,Nvidia,GeForce GTX 1050
335,HP,Notebook,14.0,8,Windows 10,1.48,67559.04,1920.0,1080.0,Intel,Core i5 7300U,2.6,256,SSD,Intel,HD Graphics 620
336,Dell,Ultrabook,15.6,8,Windows 10,1.9,55890.72,1920.0,1080.0,Intel,Core i5 8250U,1.6,1128,Hybrid,Nvidia,GeForce 940MX
337,HP,Notebook,15.6,8,Windows 10,1.84,60952.32,1920.0,1080.0,Intel,Core i5 7200U,2.5,256,SSD,Intel,HD Graphics 620
338,Asus,Notebook,15.6,4,Linux,2.0,14651.4672,1366.0,768.0,Intel,Celeron Dual Core N3350,1.1,1000,HDD,Intel,HD Graphics 500
339,Dell,Notebook,15.6,8,Windows 10,2.0,60885.72,1920.0,1080.0,Intel,Core i5 8250U,1.6,256,SSD,Nvidia,GeForce 940MX
340,Dell,Notebook,15.6,4,Linux,2.2,14646.672,1366.0,768.0,Intel,Celeron Dual Core N3060,1.6,500,HDD,Intel,HD Graphics
